weight logl t0 tau logZsun
0.000000000000000000e+00 -6.332670000000000000e+05 1.078499355794044412e+01 8.764602849263594564e+00 -4.335272219634602742e-01
0.000000000000000000e+00 -6.318270000000000000e+05 1.029439116372331497e+01 9.955408593313807231e+00 3.555439225766061639e-01
0.000000000000000000e+00 -6.294196875000000000e+05 1.124050618947330804e+01 2.986129661091987852e+00 1.103230599570688142e-01
0.000000000000000000e+00 -6.240933125000000000e+05 1.108094809189445051e+01 4.245259596754862308e+00 -5.047119010699940844e-02
0.000000000000000000e+00 -6.222655000000000000e+05 1.092179351062836012e+01 5.100449913213124908e+00 6.103012716243139124e-02
0.000000000000000000e+00 -6.205510000000000000e+05 9.225829951192253020e+00 4.905105291794696676e+00 -1.586302147043212596e+00
0.000000000000000000e+00 -6.150182500000000000e+05 1.070160194101685747e+01 7.891937123354805905e+00 -1.937457539974358767e-01
0.000000000000000000e+00 -6.116301250000000000e+05 1.080426370483606746e+01 6.848766213168807404e+00 -5.372308739563358415e-01
0.000000000000000000e+00 -6.006307500000000000e+05 1.150519513903823388e+01 1.931432426314541262e+00 -5.803160937722062762e-01
0.000000000000000000e+00 -5.950907500000000000e+05 9.400909659852205280e+00 2.801779956218212408e+00 -1.795736381003704363e+00
0.000000000000000000e+00 -5.937796875000000000e+05 1.230476336042973173e+01 2.074267074984730841e-01 -2.480846029635234817e+00
0.000000000000000000e+00 -5.865556875000000000e+05 5.952269703347922380e+00 9.436202052495367809e+00 -2.106343536178028053e+00
0.000000000000000000e+00 -5.833289375000000000e+05 9.821573448659737693e+00 4.778360485681060865e+00 -1.218408435127712242e+00
0.000000000000000000e+00 -5.780285000000000000e+05 7.155602001170904281e+00 6.152058062772876923e+00 -1.995113383348619651e+00
0.000000000000000000e+00 -5.764876875000000000e+05 1.035986064006141305e+01 7.204702124413087994e+00 -8.283587593949006678e-01
0.000000000000000000e+00 -5.699631250000000000e+05 1.040861364102923403e+01 1.930425348411733300e+00 -1.459528529069125113e+00
0.000000000000000000e+00 -5.687807500000000000e+05 5.832773002799659601e+00 6.101399183285804106e+00 -2.495000603307732767e+00
0.000000000000000000e+00 -5.680280625000000000e+05 1.006506121586412128e+01 1.637092964453341626e+00 -1.893249093105818570e+00
0.000000000000000000e+00 -5.580335000000000000e+05 1.223914720592944860e+01 6.483312055343330993e-01 6.273881072452081042e-02
0.000000000000000000e+00 -5.568143750000000000e+05 8.047850207695569580e+00 2.736042946889802874e+00 -2.490182820416032339e+00
0.000000000000000000e+00 -5.560485625000000000e+05 8.936349666813901749e+00 2.747382368854511370e+00 -1.893290031395063355e+00
0.000000000000000000e+00 -5.552449375000000000e+05 8.610229037605227731e+00 2.221195859908048131e+00 -2.417060250987943526e+00
0.000000000000000000e+00 -5.465854375000000000e+05 9.272767082319919751e+00 2.350698441749433876e+00 -1.850748345298142361e+00
0.000000000000000000e+00 -5.414292500000000000e+05 4.395059862357564739e+00 8.155382158286979433e+00 -2.431624880095264452e+00
0.000000000000000000e+00 -5.409413125000000000e+05 9.745884948083720190e+00 8.157974169005997922e+00 -8.999738473467933098e-01
0.000000000000000000e+00 -5.385251250000000000e+05 9.194891830877274685e+00 3.056303543694814717e+00 -1.590981211652504612e+00
0.000000000000000000e+00 -5.374276875000000000e+05 9.155003503762909389e+00 6.988541148400629233e+00 -1.138866703562575022e+00
0.000000000000000000e+00 -5.353294375000000000e+05 9.876223414670102230e+00 4.243369513840447915e+00 -1.051610827651193514e+00
0.000000000000000000e+00 -5.343287500000000000e+05 8.187732161120040431e+00 3.191177073170198941e+00 -1.984655914922110576e+00
